{'loss': 1.201, 'learning_rate': 4e-05, 'epoch': 0.02}
{'loss': 0.0428, 'learning_rate': 0.00012666666666666666, 'epoch': 1.86}
{'loss': 0.0607, 'learning_rate': 0.000126, 'epoch': 1.88}
{'loss': 0.0548, 'learning_rate': 0.00012533333333333334, 'epoch': 1.89}
{'loss': 0.0313, 'learning_rate': 0.00012466666666666667, 'epoch': 1.91}
{'loss': 0.043, 'learning_rate': 0.000124, 'epoch': 1.93}
{'loss': 0.0546, 'learning_rate': 0.00012333333333333334, 'epoch': 1.94}
{'loss': 0.035, 'learning_rate': 0.00012266666666666668, 'epoch': 1.96}
{'loss': 0.0493, 'learning_rate': 0.000122, 'epoch': 1.98}
{'loss': 0.0429, 'learning_rate': 0.00012133333333333335, 'epoch': 1.99}
{'eval_loss': 0.1422964483499527, 'eval_runtime': 22.7655, 'eval_samples_per_second': 1.23, 'eval_steps_per_second': 1.23, 'epoch': 1.99}
{'loss': 0.0342, 'learning_rate': 0.00012066666666666668, 'epoch': 2.01}
{'loss': 0.029, 'learning_rate': 0.00012, 'epoch': 2.02}
{'loss': 0.0185, 'learning_rate': 0.00011933333333333334, 'epoch': 2.04}
{'loss': 0.0284, 'learning_rate': 0.00011866666666666669, 'epoch': 2.06}
{'loss': 0.0197, 'learning_rate': 0.000118, 'epoch': 2.07}
{'loss': 0.0206, 'learning_rate': 0.00011733333333333334, 'epoch': 2.09}
{'loss': 0.0225, 'learning_rate': 0.00011666666666666668, 'epoch': 2.11}
{'loss': 0.0209, 'learning_rate': 0.000116, 'epoch': 2.12}
{'loss': 0.019, 'learning_rate': 0.00011533333333333334, 'epoch': 2.14}
{'loss': 0.0192, 'learning_rate': 0.00011466666666666667, 'epoch': 2.15}
{'loss': 0.0372, 'learning_rate': 0.00011399999999999999, 'epoch': 2.17}
{'loss': 0.1161, 'learning_rate': 0.00011333333333333334, 'epoch': 2.19}
{'loss': 0.0286, 'learning_rate': 0.00011266666666666668, 'epoch': 2.2}
{'loss': 0.0355, 'learning_rate': 0.00011200000000000001, 'epoch': 2.22}
{'loss': 0.0326, 'learning_rate': 0.00011133333333333333, 'epoch': 2.23}
{'loss': 0.019, 'learning_rate': 0.00011066666666666667, 'epoch': 2.25}
{'loss': 0.04, 'learning_rate': 0.00011000000000000002, 'epoch': 2.27}
{'loss': 0.0593, 'learning_rate': 0.00010933333333333333, 'epoch': 2.28}
{'loss': 0.0194, 'learning_rate': 0.00010866666666666667, 'epoch': 2.3}
{'loss': 0.0456, 'learning_rate': 0.00010800000000000001, 'epoch': 2.32}
{'loss': 0.0264, 'learning_rate': 0.00010733333333333333, 'epoch': 2.33}
{'loss': 0.0322, 'learning_rate': 0.00010666666666666667, 'epoch': 2.35}
{'loss': 0.0631, 'learning_rate': 0.00010600000000000002, 'epoch': 2.36}
{'loss': 0.0379, 'learning_rate': 0.00010533333333333332, 'epoch': 2.38}
{'loss': 0.0219, 'learning_rate': 0.00010466666666666667, 'epoch': 2.4}
{'loss': 0.023, 'learning_rate': 0.00010400000000000001, 'epoch': 2.41}
